"Country","Pollutant","VAR","Variable","Year","Unit","PowerCode","Value"
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2008,"Tonnes of CO2 equivalent","Thousands",44568.117
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2009,"Tonnes of CO2 equivalent","Thousands",45072.294
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2010,"Tonnes of CO2 equivalent","Thousands",37001.922
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2011,"Tonnes of CO2 equivalent","Thousands",37116.947
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2012,"Tonnes of CO2 equivalent","Thousands",37502.026
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2013,"Tonnes of CO2 equivalent","Thousands",37738.38
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2014,"Tonnes of CO2 equivalent","Thousands",38598.537
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2015,"Tonnes of CO2 equivalent","Thousands",38431.774
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2016,"Tonnes of CO2 equivalent","Thousands",38237.88
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2017,"Tonnes of CO2 equivalent","Thousands",37607.473
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2018,"Tonnes of CO2 equivalent","Thousands",35807.816
"Germany","Nitrous oxide","TOTAL","Total  emissions excluding LULUCF",2019,"Tonnes of CO2 equivalent","Thousands",35121.906
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1990,"Tonnes of CO2 equivalent","Thousands",50.32
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1991,"Tonnes of CO2 equivalent","Thousands",45.922
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1992,"Tonnes of CO2 equivalent","Thousands",287.564
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1993,"Tonnes of CO2 equivalent","Thousands",2495.767
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1994,"Tonnes of CO2 equivalent","Thousands",2687.863
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1995,"Tonnes of CO2 equivalent","Thousands",2614.283
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1996,"Tonnes of CO2 equivalent","Thousands",3407.62
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1997,"Tonnes of CO2 equivalent","Thousands",4157.373
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1998,"Tonnes of CO2 equivalent","Thousands",4868.842
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",1999,"Tonnes of CO2 equivalent","Thousands",5200.825
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2000,"Tonnes of CO2 equivalent","Thousands",6031.991
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2001,"Tonnes of CO2 equivalent","Thousands",7456.575
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2002,"Tonnes of CO2 equivalent","Thousands",8093.33
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2003,"Tonnes of CO2 equivalent","Thousands",8303.515
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2004,"Tonnes of CO2 equivalent","Thousands",8754.562
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2005,"Tonnes of CO2 equivalent","Thousands",9009.548
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2006,"Tonnes of CO2 equivalent","Thousands",9379.146
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2007,"Tonnes of CO2 equivalent","Thousands",9805.142
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2008,"Tonnes of CO2 equivalent","Thousands",9768.972
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2009,"Tonnes of CO2 equivalent","Thousands",10031.485
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2010,"Tonnes of CO2 equivalent","Thousands",10339.223
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2011,"Tonnes of CO2 equivalent","Thousands",10786.315
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2012,"Tonnes of CO2 equivalent","Thousands",10975.415
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2013,"Tonnes of CO2 equivalent","Thousands",10979.93
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2014,"Tonnes of CO2 equivalent","Thousands",11129.393
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2015,"Tonnes of CO2 equivalent","Thousands",11377.719
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2016,"Tonnes of CO2 equivalent","Thousands",11346.722
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2017,"Tonnes of CO2 equivalent","Thousands",11175.749
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2018,"Tonnes of CO2 equivalent","Thousands",10250.797
"Germany","Hydrofluorocarbons","TOTAL","Total  emissions excluding LULUCF",2019,"Tonnes of CO2 equivalent","Thousands",9611.811
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1990,"Tonnes of CO2 equivalent","Thousands",3060.232
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1991,"Tonnes of CO2 equivalent","Thousands",2654.624
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1992,"Tonnes of CO2 equivalent","Thousands",2407.119
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1993,"Tonnes of CO2 equivalent","Thousands",2256.39
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1994,"Tonnes of CO2 equivalent","Thousands",1918.776
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1995,"Tonnes of CO2 equivalent","Thousands",2085.721
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1996,"Tonnes of CO2 equivalent","Thousands",2041.187
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1997,"Tonnes of CO2 equivalent","Thousands",1653.484
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1998,"Tonnes of CO2 equivalent","Thousands",1781.791
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",1999,"Tonnes of CO2 equivalent","Thousands",1484.769
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2000,"Tonnes of CO2 equivalent","Thousands",956.325
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2001,"Tonnes of CO2 equivalent","Thousands",869.601
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2002,"Tonnes of CO2 equivalent","Thousands",945.648
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2003,"Tonnes of CO2 equivalent","Thousands",1015.53
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2004,"Tonnes of CO2 equivalent","Thousands",977.4
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2005,"Tonnes of CO2 equivalent","Thousands",836.769
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2006,"Tonnes of CO2 equivalent","Thousands",668.468
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2007,"Tonnes of CO2 equivalent","Thousands",587.337
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2008,"Tonnes of CO2 equivalent","Thousands",566
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2009,"Tonnes of CO2 equivalent","Thousands",405.898
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2010,"Tonnes of CO2 equivalent","Thousands",345.375
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2011,"Tonnes of CO2 equivalent","Thousands",278.513
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2012,"Tonnes of CO2 equivalent","Thousands",242.195
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2013,"Tonnes of CO2 equivalent","Thousands",256.944
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2014,"Tonnes of CO2 equivalent","Thousands",234.335
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2015,"Tonnes of CO2 equivalent","Thousands",244.183
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2016,"Tonnes of CO2 equivalent","Thousands",252.127
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2017,"Tonnes of CO2 equivalent","Thousands",257.157
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2018,"Tonnes of CO2 equivalent","Thousands",289.594
"Germany","Perfluorocarbons","TOTAL","Total  emissions excluding LULUCF",2019,"Tonnes of CO2 equivalent","Thousands",231.756
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1990,"Tonnes of CO2 equivalent","Thousands",4427.998
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1991,"Tonnes of CO2 equivalent","Thousands",4745.879
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1992,"Tonnes of CO2 equivalent","Thousands",5237.807
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1993,"Tonnes of CO2 equivalent","Thousands",5973.591
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1994,"Tonnes of CO2 equivalent","Thousands",6249.228
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1995,"Tonnes of CO2 equivalent","Thousands",6467.15
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1996,"Tonnes of CO2 equivalent","Thousands",6162.493
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1997,"Tonnes of CO2 equivalent","Thousands",6108.844
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1998,"Tonnes of CO2 equivalent","Thousands",5888.915
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",1999,"Tonnes of CO2 equivalent","Thousands",4289.752
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2000,"Tonnes of CO2 equivalent","Thousands",4072.498
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2001,"Tonnes of CO2 equivalent","Thousands",3751.779
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2002,"Tonnes of CO2 equivalent","Thousands",3082.252
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2003,"Tonnes of CO2 equivalent","Thousands",3013.41
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2004,"Tonnes of CO2 equivalent","Thousands",3241.043
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2005,"Tonnes of CO2 equivalent","Thousands",3252.037
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2006,"Tonnes of CO2 equivalent","Thousands",3200.643
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2007,"Tonnes of CO2 equivalent","Thousands",3089.621
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2008,"Tonnes of CO2 equivalent","Thousands",2942.667
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2009,"Tonnes of CO2 equivalent","Thousands",2942.522
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2010,"Tonnes of CO2 equivalent","Thousands",3002.479
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2011,"Tonnes of CO2 equivalent","Thousands",3035.331
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2012,"Tonnes of CO2 equivalent","Thousands",3082.588
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2013,"Tonnes of CO2 equivalent","Thousands",3122.346
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2014,"Tonnes of CO2 equivalent","Thousands",3066.148
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2015,"Tonnes of CO2 equivalent","Thousands",3246.743
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2016,"Tonnes of CO2 equivalent","Thousands",3457.206
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2017,"Tonnes of CO2 equivalent","Thousands",3759.573
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2018,"Tonnes of CO2 equivalent","Thousands",3870.614
"Germany","Sulphur hexafluoride","TOTAL","Total  emissions excluding LULUCF",2019,"Tonnes of CO2 equivalent","Thousands",3919.33
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1990,"Tonnes of CO2 equivalent","Thousands",65129.227
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1991,"Tonnes of CO2 equivalent","Thousands",66005.337
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1992,"Tonnes of CO2 equivalent","Thousands",67153.485
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1993,"Tonnes of CO2 equivalent","Thousands",66913.439
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1994,"Tonnes of CO2 equivalent","Thousands",68135.376
"New Zealand","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF",1995,"Tonnes of CO2 equivalent","Thousands",68913.125
